Category,Style Name,Description,Fabric Description,Price,Product Link
Bottoms,DARK KNIGHT PANTS,"These pants offer a balance of classic styling and contemporary details, perfect for both casual and semi-casual looks.","Fabrication - outershell - polysuiting and pu leather, innershell lining - fleece for soft feel.",3000,https://www.vasavi.co/product/dark-knight
Bottoms,ROGUE SPLIT PANTS,"Stunning contrast color combination - Black and Plum. Modern and stylish, with a flattering fit. Versatile for both casual and formal occasions.","Fabric blend - Combination of wool and suede.",3800,https://www.vasavi.co/product/rogue-split
Corset,CORSETICA CORSET,"The corset top from the Disrupt collection merges sculptural elegance with bold design. Crafted from luxurious fabrics, it creates a striking, confident silhouette, redefining femininity with modern innovation and unapologetic style.","Fabrication - RIB. Style - bodyfitted garment with adjustable waist belt with drawstrings.",1699,https://www.vasavi.co/product/corsetica
Corset,ELYSIAN CURVE CORSET,"A perfect embodiment of breaking the norm and wearing the change, it merges practicality with contemporary sophistication for the style-conscious individual.","Fabrication - soft, comfortable denim, this dungaree offers flexibility and durability for everyday wear",3499,https://www.vasavi.co/product/elysian-curve
Corset,EMBODY GRACE CORSET,"Perfect for both casual and evening wear, the bodysuit blends elegance with contemporary design.","Fabric composition - combination of mesh and Lycra, offering a breathable, stretchy fit that molds to your body for a comfortable, flattering silhouette.",3599,https://www.vasavi.co/product/embody-grace
Corset,RAW ALLURE CORSET,"A perfect fusion of contemporary design and premium craftsmanship. Color Palette - black pu leather and grey spandex. The combination of leather and spandex creates a perfect balance of luxury and comfort, making it ideal for a modern, high-fashion look.","Fabric composition - PU leather combined with spandex for perfect fit.",2399,https://www.vasavi.co/product/raw-allure
Corset,SERENE DRAPE CORSET,"Embodying the essence of Disrupt, in bold black and plum merges sophistication with audacious design. The sleek scoop neck, side zipper, and daring side slit redefine modern elegance, breaking tradition with every step.","Fabrication composition - combination of soft wool and mesh.",4699,https://www.vasavi.co/product/serene-drape
Shirt,BOXED BREEZE,"Crafted from soft, breathable fabric blends, it offers everyday comfort with a structured feel. The red and black plaid pattern channels effortless Americana, while the button-down front and short length add a street-smart, fashion-forward edge.","Fit - Cropped silhouette. Material - Cotton, flannel, or polyester blends.",1999,https://www.vasavi.co/product/boxed-breeze
Shirt,KHADELLA JACKET,"Fabrication - natural, breathable khadi fabric, offering a comfortable and eco-friendly feel.","A perfect blend of traditional and contemporary, ideal for casual wear or semi-formal occasions.",2499,https://www.vasavi.co/product/khadella
Shirt,SLEEK MODE JACKET,"Linen fabric offers a soft texture against the skin while remaining cool and comfortable throughout the day. A wardrobe staple that can be dressed up or down, ideal for layering or wearing on its own for an effortlessly stylish appearance.","Premium linen fabric - high-quality linen, offering a lightweight, breathable feel perfect for warm weather and comfort.",2499,https://www.vasavi.co/product/sleek-mode
Shirt,DESERT BLOOM,"Cactus embroidery gives the shirt a deserty vibe, evoking a laid-back, nature-inspired aesthetic.","Fabrication - Crafted from 240 GSM jersey, offering a soft, breathable feel with a premium, durable finish",2499,https://www.vasavi.co/product/desert-bloom
Shirt,FIELD FLANNEL,"The high-quality plaid fabric, paired with a relaxed unisex fit, embodies a refined rebellion. With versatile multi-color tones and sophisticated jersey details, it seamlessly merges comfort with modern elegance, perfect for both casual and semi-formal occasions.","Fabric Composition: high-quality plaid fabric, offering a classic, timeless pattern with a rich multi-color combination. 220 GSM jersey for collar and pockets.",2299,https://www.vasavi.co/product/field-flannel
Shirt,LUCIDNET,"This raglan sleeve t-shirt, crafted from premium Crocia fabric, channels a techno-infused design with its sleek, minimalist silhouette. The relaxed fit and contemporary styling offer a perfect fusion of comfort and futuristic elegance.","Crocia fabric - high-quality Crocia fabric, offering a soft and breathable feel for maximum comfort.",2299,https://www.vasavi.co/product/lucidnet
T-Shirt,BLUE BLOCK,"Features a stylish denim patch with embroidered brand logo followed by hand stitch lines. A blend of casual style with intricate detailing, making it a versatile and fashionable piece.","High quality fabric - 240 GSM jersey with soft feel. Style - relaxed fit for both men and women.",1999,https://www.vasavi.co/product/blue-block
T-Shirt,DREAMWAVE,"Timeless black, exuding sophistication and versatility, seamlessly complementing any wardrobe. This garment embodies a techno-inspired ethos, blending futuristic design with premium craftsmanship. The intricate mesh overlay and applique detailing create a striking, avant-garde appeal.","Fabrication - 260 GSM jersey with mesh overlaying. Style - relaxed fit with 3/4th sleeve.",3800,https://www.vasavi.co/product/dreamwave
T-Shirt,GALACTIC GLOW,"A unique running stitch follows the boundary of the print, which adds the edge to the design. The Vasavi brand logo is placed at the center of the print, making it an eye-catching focal point.","High quality fabric - 240 GSM jersey with soft feel. Style - oversized tshirt. Ideal for both men and women.",1999,https://www.vasavi.co/product/galactic-glow
T-Shirt,GOOD OL' DAYS,"Features a towel embroidery that evokes a nostalgic sentiment, symbolizing the good ol days with a playful, vintage touch.","Fabric Composition: Made from 240 GSM fabric, offering durability and a comfortable feel for all-day wear.",1999,https://www.vasavi.co/product/good-ol-days
T-Shirt,IVASAV,"he combination of relaxed fit and intricate embroidery gives the t-shirt a fashionable and contemporary appeal.","High quality fabric - 240 GSM jersey with soft feel. Style - relaxed fit for both men and women. Color - RFD white",1999,https://www.vasavi.co/product/ivasav
T-Shirt,KHOVAR FLOW,"Featuring a bold Khovar-inspired print, it merges cultural depth with modern design - a statement piece that balances tradition and individuality with effortless style.","Fabrication - 240 GSM jersey with soft and comfortable fit.",1999,https://www.vasavi.co/product/khovar-flow
T-Shirt,MINDWARP,"Combines two types of zippers-metal and Vislon-creating a modern, visually striking contrast that enhances the t-shirt's overall design. Merges fashion-forward design with utility, perfect for those seeking a modern, versatile piece with a touch of rugged sophistication.","Fabrication - 240 GSM tshirt. Style - The raglan sleeve design offers a relaxed, sporty silhouette, enhancing both comfort and style. Color - grey and black.",4000,https://www.vasavi.co/product/mindwarp
T-Shirt,RUGGED REBEL,"Digital prints enhance the shirt with sharp, vivid imagery, creating a bold and eye-catching statement.","Fabric composition - 240 gsm jersey feels like nothing worn on. Style - oversized with raw edges. Color - olive.",1699,https://www.vasavi.co/product/rugged-rebel
T-Shirt,TRUST NO LIMITS,"Hard Trust' print on the front adds a powerful, statement-making element, reflecting confidence and resilience. Combines a relaxed fit with contemporary design, ideal for casual or semi-casual settings.","Fabrication - 240 GSM tshirt with Pu leather combination. Style - oversized tshirt. sleek PU leather sleeves, offering a bold contrast and a modern, edgy look. Color - off white.",2299,https://www.vasavi.co/product/trust-no-limits
Hoodie,HOODLINK HOODIE,"Featuring unique drawstring detailing on the back and sleeves, along with a signature Vasavi embroidered patch, it delivers vintage-inspired depth with a bold, modern twist - made for comfort, styled for impact.","This fade charcoal hoodie from the Disrupt Collection is crafted from soft 280 GSM terry and designed in an oversized unisex fit.",3000,https://www.vasavi.co/product/hoodlink
Hoodie,KHARE BROWN HOODIE,"Features side flaps at both sides, adding a unique closure element and modern flair to the oversized silhouette. Hoodie at the Back: The added hoodie brings a stylish and functional element, perfect for layering. Perfect for casual outings or layered over other pieces, creating a bold, statement-making outfit.","Fabric Composition: Crafted from luxurious suede, offering a soft and smooth texture for a premium feel.",7500,https://www.vasavi.co/product/khare-brown
Hoodie,NOMAD VEIL HOODIE,"With a distinctive rough texture, evoking the authenticity of the region's natural elements while offering modern sophistication. The sweater's deep green hue mirrors the moss-covered rock formations and the stark yet captivating scenery of Ladakh.","Fabric composition - knitted fabric with soft feel and durability. Style - relaxed fit with running stitch embroidery, adding texture and a touch of craftsmanship to the design.",4799,https://www.vasavi.co/product/nomad-veil
Hoodie,SKYDASH HOODIE,"A rich, premium design, perfect for those looking for elevated streetwear with unique, functional details. Captured in the stunning Julley Ladakh, this oversized hoodie with mesh overlay exudes premium craftsmanship. The adjustable sleeve flaps and 320 gsm fabric elevate its bold, modern aesthetic against Ladakh's serene backdrop.","Fabrication - premium 320 GSM fabric, offering both warmth and durability with a luxe feel.",4199,https://www.vasavi.co/product/skydash
Hoodie,THREADED HARMONY HOODIE,"Featuring embossed Hindi Vasavi detailing, it blends cultural depth with contemporary comfort - bold, cozy, and made to break the norm.","Fabrication - 280 GSM terry, offering a soft and comfortable feel with a perfect balance of warmth and breathability.",3899,https://www.vasavi.co/product/threaded-harmony
Hoodie,TSO VERDAN HOODIE,"In the rugged beauty of Ladakh, this V-neck knitted sweater with handcrafted brand logo embroidery reflects timeless craftsmanship and modern style. The serene landscape complements its perfect blend of warmth and elegance, offering both comfort and sophistication.","Fabrication - soft, premium knitted fabric, offering warmth and comfort while maintaining a refined texture. Style - relaxed fit with V- neck. Color - rich blue.",5199,https://www.vasavi.co/product/tso-verdan
Hoodie,VASATAR HOODIE,"This premium hoodie from the Julley Ladakh Collection embodies the spirit of the region with its authentic design and exceptional craftsmanship. Featuring a comfortable fit and unique details inspired by traditional Ladakhi elements.","Fabrication - premium materials selected for both comfort and durability.",4200,https://www.vasavi.co/product/vasatar
